"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"184","184"," ","WEST GABLES REHABILITATION HOSPITAL","2525 SW 75TH AVE","MIAMI","33155","Miami-Dade","-80.31674318","25.74699454","-80.31674318,25.74699454","17R NJ 68525 47843"," "," ","HOSPITAL","60","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_184",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","115","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"185","185"," ","SELECT SPECIALTY HOSPITAL - MIAMI","955 NW 3RD ST SUITE #736","MIAMI","33128","Miami-Dade","-80.21084937","25.7770151","-80.21084937,25.77701510","17R NJ 79126 51227"," "," ","HOSPITAL","47","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_185","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","113","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"186","186"," ","BASCOM PALMER EYE INSTITUTE","900 NW 17TH ST","MIAMI","33136","Miami-Dade","-80.21070602","25.79102402","-80.21070602,25.79102402","17R NJ 79131 52778"," "," ","HOSPITAL","100","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_186","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","109","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"187","187"," ","DOUGLAS GARDENS HOSP","5200 NE 2ND AVE","MIAMI","33137","Miami-Dade","-80.19250574","25.82282587","-80.19250574,25.82282587","17R NJ 80934 56311"," "," ","HOSPITAL","32","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_187","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","108","34","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"188","188"," ","ST CATHERINE'S WEST REHAB HOSPITAL","8850 NW 122 ST","HIALEAH GARDENS","33018","Miami-Dade","-80.34297957","25.88365649","-80.34297957,25.88365649","17R NJ 65818 62964"," "," ","HOSPITAL","40","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_188","Hialeah Gardens","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","111","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","Medium","High","High","Medium","Medium","Medium","Medium","Medium","Medium"
"189","189"," ","HEALTHSOUTH REHAB HOSP OF MIA","20601 OLD CUTLER RD","MIAMI","33189","Miami-Dade","-80.34134014","25.57475729","-80.34134014,25.57475729","17R NJ 66153 28756"," "," ","HOSPITAL","60","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_189","Cutler Bay","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","115","38","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"190","190"," ","ST CATHERINE'S REHABILITATION HOSPITAL","1050 NE 125TH ST","NORTH MIAMI","33161","Miami-Dade","-80.17731838","25.88990375","-80.17731838,25.88990375","17R NJ 82410 63749"," "," ","HOSPITAL","22","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_190","North Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","108","34","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"191","191"," ","HIALEAH HOSP","651 E 25TH ST","HIALEAH","33013","Miami-Dade","-80.26935262","25.84556311","-80.26935262,25.84556311","17R NJ 73218 58784"," "," ","HOSPITAL - ACUTE CARE","378","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_191","Hialeah","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","112","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"192","192"," ","WEST KENDALL BAPTIST HOSPITAL","9555 SW 162 AVE","MIAMI","33196","Miami-Dade","-80.45595595","25.67816727","-80.45595595,25.67816727","17R NJ 54594 40156"," "," ","HOSPITAL - ACUTE CARE","133","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_192",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","119","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"193","193"," ","MOUNT SINAI MEDIAL CENTER","4300 ALTON ROAD","MIAMI BEACH","33140","Miami-Dade","-80.13829946","25.81539998","-80.13829946,25.81539998","17R NJ 86373 55523"," "," ","HOSPITAL - ACUTE CARE","955","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_193","Miami Beach","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","106","34","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","High","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"194","194"," ","MOUNT SINAI MEDICAL CNTR","4300 ALTON RD","MIAMI BEACH","33140","Miami-Dade","-80.14045132","25.81343307","-80.14045132,25.81343307","17R NJ 86159 55304"," "," ","HOSPITAL - ACUTE CARE","672","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_194","Miami Beach","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","106","34","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium"
"195","195"," ","LARKIN COMM HOSP PALM SPRINGS CAMPUS","1475 W 49TH ST","HIALEAH","33012","Miami-Dade","-80.31228601","25.86868128","-80.31228601,25.86868128","17R NJ 68902 61321"," "," ","HOSPITAL - ACUTE CARE","247","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_195","Hialeah","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","112","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","Medium","High","High","Medium","Medium","Medium","Medium","Medium","Medium"
"196","196"," ","HOMESTEAD HOSP","975 BAPTIST WAY","HOMESTEAD","33033","Miami-Dade","-80.43002151","25.48003885","-80.43002151,25.48003885","17R NJ 57291 18226"," "," ","HOSPITAL - ACUTE CARE","142","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_196","Homestead","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","120","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"197","197"," ","PROMISE HOSP OF MIAMI","14001 NW 82ND AVE","MIAMI LAKES","33016","Miami-Dade","-80.332346","25.899277","-80.33234600,25.89927700","17R NJ 66875 64699"," "," ","HOSPITAL - ACUTE CARE","60","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_197","Miami Lakes","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","110","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","High","High","High","High","High","High","High","High","High","High","High"
"198","198"," ","HEALTH SOUTH DOCTOR'S HOSP","5000 UNIVERSITY DR","CORAL GABLES","33146","Miami-Dade","-80.27388202","25.72442075","-80.27388202,25.72442075","17R NJ 72838 45366"," "," ","HOSPITAL - ACUTE CARE","281","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_198","Coral Gables","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","114","38","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","High","High","Medium","Low","Medium","Medium","Medium","Medium"
"199","199"," ","NORTH SHORE MEDICAL CNTR","1100 NW 95TH ST","MIAMI","33150","Miami-Dade","-80.21437318","25.85949328","-80.21437318,25.85949328","17R NJ 78718 60359"," "," ","HOSPITAL - ACUTE CARE","337","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_199",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","108","34","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"200","200"," ","MIAMI MEDICAL CNTR, THE","5959 NW 7TH ST","MIAMI","33126","Miami-Dade","-80.29348516","25.7783427","-80.29348516,25.77834270","17R NJ 70839 51327"," "," ","HOSPITAL - ACUTE CARE","69","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_200","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","114","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","High","High","Medium","High","High","High","High","Not Affected","Low","Low","Medium","Medium","Medium"
"201","201"," ","SOUTHERN WINDS HOSPITAL","4225 W 20TH AVE","HIALEAH","33012","Miami-Dade","-80.32152286","25.86037072","-80.32152286,25.86037072","17R NJ 67981 60396"," "," ","HOSPITAL - ACUTE CARE","72","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_201","Hialeah","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","112","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Not Affected","Low","Low","Medium","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"202","202"," ","KENDALL REGIONAL MED CNTR","11750 BIRD RD","MIAMI","33175","Miami-Dade","-80.38605967","25.73083685","-80.38605967,25.73083685","17R NJ 61581 46019"," "," ","HOSPITAL - TRAUMA","417","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_202",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","118","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High"
"203","203"," ","JACKSON SOUTH COMM HOSP","9333 SW 152ND ST","MIAMI","33157","Miami-Dade","-80.34467451","25.62990567","-80.34467451,25.62990567","17R NJ 65788 34862"," "," ","HOSPITAL - ACUTE CARE","226","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_203",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","115","38","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"204","204"," ","HELPING HANDS EXTENDED CARE","11300 NW 87TH CT SUITE 162-164","HIALEH GARDENS","33018","Miami-Dade","-80.34051136","25.87619665","-80.34051136,25.87619665","17R NJ 66070 62139"," "," ","HOSPITAL - PEDIATRIC","20","EFHS",,,"HOSPITAL - PEDIATRIC",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_204","Hialeah Gardens","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","111","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","High","High","High","High","High","Medium","Medium","Medium","High","High","High"
"205","205"," ","CORAL GABLES HOSPI","3100 DOUGLAS RD","CORAL GABLES","33134","Miami-Dade","-80.25480404","25.74360547","-80.25480404,25.74360547","17R NJ 74739 47501"," "," ","HOSPITAL - ACUTE CARE","245","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_205","Coral Gables","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","114","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium"
"206","206"," ","LARKIN COMMUNITY HOSPITAL","7031 SW 62ND AVE","SOUTH MIAMI","33143","Miami-Dade","-80.29315423","25.70561235","-80.29315423,25.70561235","17R NJ 70915 43272"," "," ","HOSPITAL - ACUTE CARE","146","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_206","South Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","114","38","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"207","207"," ","U OF M HOSPITAL","1400 NW 12TH AVE","MIAMI","33136","Miami-Dade","-80.2159446","25.78869585","-80.21594460,25.78869585","17R NJ 78607 52517"," "," ","HOSPITAL - ACUTE CARE","560","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_207","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","109","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","Medium","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"208","208"," ","MERCY HOSP/CAMPUS OF PLANTATION GEN","3663 S MIAMI AVE","MIAMI","33133","Miami-Dade","-80.21338736","25.74046133","-80.21338736,25.74046133","17R NJ 78896 47177"," "," ","HOSPITAL - ACUTE CARE","488","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_208","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","113","38","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"209","209"," ","SOUTH MIAMI HOSPITAL","6200 SW 73RD ST","SOUTH MIAMI","33143","Miami-Dade","-80.29390317","25.70332116","-80.29390317,25.70332116","17R NJ 70842 43018"," "," ","HOSPITAL - ACUTE CARE","453","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_209","South Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","114","38","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"210","210"," ","PALMETTO GENERAL HOSP","2001 W 68TH ST","HIALEAH","33016","Miami-Dade","-80.32670421","25.88604208","-80.32670421,25.88604208","17R NJ 67447 63236"," "," ","HOSPITAL - ACUTE CARE","368","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_210","Hialeah","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","111","39","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"211","211"," ","MIAMI VA MEDICAL CENTER","1201 NW 16TH ST","MIAMI","33744","Miami-Dade","-80.21675693","25.79124486","-80.21675693,25.79124486","17R NJ 78524 52799"," "," ","HOSPITAL - VA","432","EFHL",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_211","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","109","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low"
"212","212"," ","AVENTURA HOSP AND MED CENT","20900 BISCAYNE BLVD","AVENTURA","33180","Miami-Dade","-80.14532002","25.96960937","-80.14532002,25.96960937","17R NJ 85558 72597"," "," ","HOSPITAL - TRAUMA","407","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_212","Aventura","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","106","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"213","213"," ","NICKLAUS CHILDREN'S HOSP","3100 SW 62ND AVE","MIAMI","33155","Miami-Dade","-80.29446111","25.74142564","-80.29446111,25.74142564","17R NJ 70763 47238"," "," ","HOSPITAL - TRAUMA","289","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_213",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","114","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"214","214"," ","Jackson Memorial Hospital","1611 NW 12TH AVE","MIAMI","33136","Miami-Dade","-80.21325745","25.79184269","-80.21325745,25.79184269","17R NJ 78875 52867"," "," ","HOSPITAL - TRAUMA","1493","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_214","Miami","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","109","36","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"215","215"," ","NAVAL BRANCH HEALTH CLINIC KEY WEST","1300 DOUGLAS CIRCLE","KEY WEST","33040","Monroe","-81.750737","24.568533","-81.75073700,24.56853300","17R MH 23979 17380"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_215","Key West","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","120","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"216","216"," ","LOWER KEYS MEDICAL CENTER","5900 COLLEGE RD","KEY WEST","33040","Monroe","-81.74236793","24.5809686","-81.74236793,24.58096860","17R MH 24834 18752"," "," ","HOSPITAL - ACUTE CARE","118","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_216","Key West","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","120","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","High","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"217","217"," ","DEPOO HOSP","1200 KENNEDY DR","KEY WEST","33040","Monroe","-81.76735478","24.56442933","-81.76735478,24.56442933","17R MH 22294 16935"," "," ","HOSPITAL - ACUTE CARE","49","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_217","Key West","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","120","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","High","High","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"218","218"," ","MARINERS HOSPITAL","91500 OVERSEAS HWY","TAVERNIER","33070","Monroe","-80.52152566","25.00575166","-80.52152566,25.00575166","17R NH 48280 65669"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_218",,"South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","120","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","High","High","High","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium"
"219","219"," ","FISHERMEN'S HOSP","3301 OVERSEAS HWY","MARATHON","33050","Monroe","-81.09446182","24.71072397","-81.09446182,24.71072397","17R MH 90445 32920"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_219","Marathon","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","6","120","40","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"220","220"," ","BAPTIST MED CENT NASSAU","1250 S 18TH ST","FERNANDINA BEACH","32034","Nassau","-81.44849831","30.65362395","-81.44849831,30.65362395","17R MP 57029 91301"," "," ","HOSPITAL - ACUTE CARE","62","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_220",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","15","4","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"221","221"," ","NORTH OKALOOSA MEDICAL CNTR","151 REDSTONE AVE SE","CRESTVIEW","32539","Okaloosa","-86.56614515","30.73700291","-86.56614515,30.73700291","16R EV 41531 00536"," "," ","HOSPITAL - ACUTE CARE","110","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_221","Crestview","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","4","1","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
